iter	Passed	Remaining
910	102458	66243
911	102534	66107
912	102614	65974
913	102685	65835
914	102762	65700
915	102826	65557
916	102902	65422
917	102974	65284
918	103047	65147
919	103121	65011
920	103203	64880
921	103286	64749
922	103356	64612
923	103418	64468
924	104108	64715
925	105015	65096
926	105125	64980
927	105195	64840
928	105265	64700
929	105338	64562
930	105394	64414
931	105468	64276
932	105537	64137
933	105611	63999
934	105679	63859
935	105750	63721
936	105825	63585
937	105890	63443
938	105970	63311
939	106043	63174
940	106117	63039
941	106189	62902
942	106256	62762
943	106320	62621
944	106390	62483
945	106467	62350
946	107077	62527
947	107729	62728
948	108002	62707
949	108074	62569
950	108133	62424
951	108206	62287
952	108288	62155
953	108365	62020
954	108442	61885
955	108516	61750
956	108588	61613
957	108659	61475
958	108727	61336
959	108804	61202
960	108866	61060
961	108933	60921
962	109011	60788
963	109081	60651
964	109162	60519
965	109232	60383
966	109318	60255
967	109394	60122
968	109478	59992
969	111010	60655
970	111188	60575
971	111321	60470
972	111436	60356
973	111515	60222
974	111599	60091
975	111676	59957
976	111748	59820
977	111818	59682
978	111883	59541
979	111954	59404
980	112033	59271
981	112103	59133
982	112182	59001
983	112241	58858
984	112320	58726
985	112388	58587
986	112468	58456
987	113193	58658
988	114009	58906
989	114087	58772
990	114161	58635
991	114233	58498
992	114297	58357
993	114380	58226
994	114552	58139
995	114644	58012
996	114723	57879
997	114791	57740
998	114865	57605
999	114945	57472
1000	115011	57333
1001	115094	57202
1002	115170	57068
1003	115232	56927
1004	115303	56791
1005	115384	56659
1006	115465	56528
1007	115777	56510
1008	116974	56922
1009	117182	56850
1010	117297	56734
1011	117380	56602
1012	117453	56465
1013	117514	56323
1014	117580	56183
1015	117651	56046
1016	117710	55903
1017	117773	55763
1018	117839	55624
1019	117919	55491
1020	117984	55352
1021	118138	55254
1022	118227	55126
1023	118302	54992
1024	118383	54860
1025	118466	54730
1026	118958	54787
1027	119740	54978
1028	120071	54959
1029	120159	54830
1030	120224	54689
1031	120304	54556
1032	120374	54419
1033	120454	54286
1034	120510	54142
1035	120586	54007
1036	120658	53871
1037	120721	53731
1038	120794	53596
1039	120873	53463
1040	120941	53325
1041	121001	53184
1042	121079	53052
1043	121149	52915
1044	121235	52786
1045	121311	52653
1046	121397	52524
1047	121469	52389
1048	121754	52346
1049	122493	52497
1050	123174	52621
1051	123262	52491
1052	123375	52372
1053	123445	52235
1054	123524	52102
1055	123598	51967
1056	123666	51829
1057	123743	51696
1058	123818	51561
1059	123893	51427
1060	123970	51294
1061	124051	51162
1062	124123	51027
1063	124192	50891
1064	124270	50758
